"X3096.PBK.0001"	"X3096.PBK.0002"	"X3096.PBK.0004"	"X3096.PBK.0005"	"X3096.PBK.0006"	"X3096.PBK.0009"	"X3096.PBK.0010"	"X3096.PBK.0011"	"X3096.PBK.0012"	"X3096.PBK.0013"	"X3096.PBK.0014"	"X3096.PBK.0015"	"X3096.PBK.0016"	"X3096.PBK.0019"	"X3096.PBK.0020"	"X3096.PBK.0021"	"X3096.PBK.0022"	"X3096.PBK.0023"	"X3096.PBK.0024"	"X3096.PBK.0025"	"X3096.PBK.0026"	"X3096.PBK.0027"	"X3096.PBK.0028"	"X3096.PBK.0029"	"X3096.PBK.0032"	"X3096.PBK.0033"	"X3096.PBK.0034"	"X3096.PBK.0035"	"X3096.PBK.0039"	"X3096.PBK.0041"	"X3096.PBK.0043"	"X3096.PBK.0122"	"X3096.PBK.0123"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.370448596089823	0.381831414509864	0.406571427733426	0.488904940915472	0.515081494569385	0.442185885114478	0.437886556235688	0.370085361870056	0.415293689695727	0.435760811332573	0.33301946290008	0.331235514139633	0.408576909556539	0.440094189977825	0.454810514151095	0.464359378549648	0.42048514507594	0.461481440432882	0.47053800137875	0.417158485622339	0.429209673045247	0.370176727473358	0.478260975592022	0.440912455286414	0.415232497723364	0.460345938224632	0.38757546717585	0.45090633028562	0.515724104365833	0.413983571989621	0.462551225655815	0.479103202387598	0.47226421559369
"HALLMARK_HYPOXIA"	0.4240029957655	0.429743626847469	0.433778607424706	0.483204070920309	0.510937639334408	0.477789906302699	0.441463317529179	0.397926952241768	0.478870752821628	0.476013159042542	0.412275109487021	0.378668406489884	0.456829702193232	0.507518098703238	0.519444836674665	0.506341667790612	0.439098754648438	0.502060404341415	0.529279752206368	0.44560737215944	0.505615004453548	0.510540473849027	0.504248550453154	0.503445022885172	0.460165829131981	0.471847524571306	0.417831035148625	0.490868407986999	0.504007489018999	0.469481477813272	0.511741691998388	0.502298169010748	0.495094612392228
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.517467661068923	0.49961483905165	0.516976191352582	0.534461940307517	0.600799555365966	0.554785001128622	0.472036954555182	0.45674492860064	0.635458329007394	0.581931862003062	0.513682025452488	0.482790243488372	0.527167692847725	0.653713928527249	0.654688162545193	0.633970036514509	0.525806022958239	0.650805282467525	0.681346508109106	0.547536802500577	0.639617234402053	0.588382972766242	0.59793402409198	0.561633544764661	0.55559518122994	0.538506516161186	0.480385427738254	0.565048640018023	0.56981524010555	0.549068265162925	0.636604535393874	0.595261566000439	0.525589939812677
"HALLMARK_MITOTIC_SPINDLE"	0.448709740664897	0.438388965041224	0.457927319713246	0.417534189499698	0.416276456313869	0.436898535513135	0.448326959445089	0.457707553626221	0.432416067179808	0.420462991593083	0.459649444494397	0.462401201861705	0.396566898186863	0.417750138188965	0.396906450955819	0.386796620277334	0.45842298061792	0.414341240243607	0.407487912503803	0.450190734985105	0.412226125578251	0.398795358940582	0.445851601573342	0.419463137679271	0.420616690943932	0.423559253028537	0.436137945388055	0.391052224029375	0.431012728619061	0.441025386025102	0.425845133691002	0.437934431622277	0.425369705040925
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	0.419926999264395	0.384959153364603	0.364943425692373	0.395171745966461	0.411562757234767	0.447129517535911	0.407979405101752	0.409013345841251	0.405027689324533	0.417322011805111	0.397090884966571	0.377901344824912	0.404123189621268	0.423814361609331	0.444161157340419	0.371414399134143	0.425880851756088	0.393082867721072	0.424255440199574	0.428873044344983	0.438272051150803	0.391247203291121	0.411388365888918	0.42769110977112	0.396504950783701	0.412209948574301	0.40973888854205	0.437321311538823	0.419826920061833	0.461671951847882	0.423710162938673	0.426863846191146	0.42392838921553
"HALLMARK_TGF_BETA_SIGNALING"	0.595509019840524	0.584905558563252	0.591190022136574	0.590855169623919	0.5982270126084	0.596586222867046	0.636281599339981	0.604662300076644	0.577870124710288	0.508494005352703	0.596509359311899	0.590952005501174	0.592738100369473	0.584806804817492	0.590677244431783	0.579808157422821	0.639677863838285	0.584987819694415	0.564837491072596	0.634171071384381	0.595824740402744	0.595634929193595	0.586710116584793	0.592150532998611	0.546503672055232	0.582297904187078	0.618516302839027	0.543170883772152	0.571740970237438	0.594995367719018	0.586879879476647	0.646954487140873	0.626385773682563
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	0.300307671355027	0.324888546392187	0.276111723534459	0.388964044176867	0.374955245421004	0.323574085368956	0.395710658248861	0.255602303861434	0.283802834352067	0.289414209154898	0.208682221324205	0.212677109008559	0.287831267670318	0.311899292697581	0.328713872638345	0.384256689571786	0.313841893520055	0.333779964248617	0.340317247505888	0.306040344952028	0.320614209540593	0.30615624309525	0.277423669139553	0.347000779998521	0.288960968978362	0.285686983763689	0.305373344894251	0.283865113141132	0.327615783396193	0.290785260583151	0.323216190525473	0.385369011720239	0.346178797461614
"HALLMARK_DNA_REPAIR"	0.561505680045503	0.57564223658387	0.539373713359929	0.586604652020374	0.58498373349724	0.568556193273177	0.573577763461308	0.537342597078405	0.562248799210127	0.595296626193254	0.544560046640371	0.546855095439428	0.60465589622725	0.577840611587136	0.569270547100273	0.601286625941498	0.564854207064415	0.585189164043203	0.579634288806071	0.559755536537118	0.572584718040063	0.574695195083816	0.57142161185745	0.58424690264521	0.577613344909515	0.568461865885462	0.556429557717555	0.597434204867148	0.584870271045617	0.578499509308384	0.555888141272654	0.57174085855987	0.582637163316726
"HALLMARK_G2M_CHECKPOINT"	0.323543911253853	0.320845194913399	0.337555438638096	0.361855575836487	0.37481952338732	0.347985819956836	0.333876648967	0.312444103368263	0.35151687368548	0.405214614506317	0.324547091698035	0.303488485382224	0.312060821887209	0.375256847764884	0.350370919382833	0.379183328639086	0.346046907808906	0.355697125679456	0.385362251570593	0.332669846059686	0.347013208282573	0.295517395068261	0.414673406497049	0.352738368389741	0.36427599322365	0.347328743095638	0.308238515568503	0.388724813408541	0.423421763870796	0.348504296674471	0.366431212163734	0.33207053435855	0.363317222611691
"HALLMARK_APOPTOSIS"	0.554958356865748	0.562406748927608	0.546771619061958	0.589419389172216	0.600066859953248	0.580178937445352	0.585592423326446	0.534764714540518	0.565189611677518	0.572315075525422	0.531657116837316	0.511585710570305	0.551185093272282	0.580855053390056	0.582849869841513	0.589954075533806	0.56407100468273	0.579749220094909	0.586459262342619	0.57428570408557	0.577898913429333	0.53128479458514	0.569915456496611	0.576034582698655	0.557386500828877	0.572280518382006	0.549724047524879	0.563474344668842	0.585135109595161	0.566496635554509	0.577871084128201	0.59771773213287	0.583873277997791
