"patient1tumor1"	"patient1tumor2"	"patient1tumor4"	"patient2tumor1"	"patient2tumor2"	"patient3tumor1"	"patient3tumor2"	"patient3tumor3"	"patient3tumor4"	"patient4tumor1"	"patient4tumor4"	"patient4tumor9"	"patient4tumor10"	"patient5tumor5"	"patient5tumor8"	"patient6tumor4"	"patient6tumor5"	"patient6tumor6"	"patient6tumor7"	"patient8tumor1"	"patient8tumor4"	"patient8tumor5"	"patient8tumor6"	"patient9tumor1"	"patient9tumor6"	"patient10tumor1"	"patient10tumor2"	"patient10tumor3"	"patient11tumor3"	"patient13tumor1"	"patient13tumor3"	"patient11tumor14"	"patient11tumor1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.329938412916518	0.341904720193047	0.37219177221949	0.451943303640529	0.475873187550374	0.401937695085791	0.397790717278941	0.334290287621025	0.375305040076625	0.395418920542064	0.292996039516624	0.297595365636899	0.368471537691373	0.397430596348174	0.411591023117774	0.419712007985353	0.380513755711194	0.418931987584614	0.428325112359952	0.376381830351332	0.385825448355159	0.327154012052077	0.439662580246721	0.400311600258846	0.377159116406465	0.422099199403544	0.348528404873528	0.41082205244374	0.475757706776008	0.371847494943629	0.423299694562065	0.437202557194625	0.430875025352236
"HALLMARK_HYPOXIA"	0.3851509578401	0.391753607728478	0.400992428860905	0.447468365086727	0.47296237375683	0.439536857868105	0.403194388746836	0.36375816299506	0.441207914179087	0.43800306973624	0.373800892403601	0.345647017684553	0.417775504863227	0.467054044263189	0.479323563584123	0.465521513128069	0.400665149962155	0.46220558763296	0.489509989202872	0.405867309251636	0.465284593146361	0.469887154124564	0.466620509474384	0.465438333507124	0.424175365605336	0.436054614552667	0.380318743086925	0.452891357824057	0.46518533278535	0.429395635915371	0.474878956054253	0.4626123087141	0.456233368389243
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.478600686847551	0.460298531767044	0.48195843762356	0.496718009697962	0.562107479320463	0.515718942245032	0.432513393541955	0.42055818572922	0.598117993084792	0.543773819342941	0.474374655470417	0.44857642547727	0.487105304792407	0.61320995769837	0.61435768929085	0.593333523473348	0.488027102753353	0.612045568715947	0.643189313701423	0.507969128299052	0.599327642833739	0.548131637010641	0.559388129021385	0.522540478151927	0.518731543897121	0.500961154015253	0.440716971416857	0.526422860294835	0.530784902888579	0.507123269889956	0.599428348992995	0.554137268913161	0.484151728419269
"HALLMARK_MITOTIC_SPINDLE"	0.407091205749236	0.397261496417707	0.421328974629919	0.37652068920733	0.372677699899099	0.39415327264994	0.406517979191576	0.421528218814723	0.390468313394545	0.375954956235054	0.418502318076107	0.427666124686635	0.353767857114843	0.370453285105297	0.350304334540346	0.33920834964796	0.416374314718099	0.369074934752024	0.36156187245704	0.407956688457677	0.365982693720844	0.353531286820505	0.402707009259781	0.375911283343736	0.379362578624555	0.383019413651284	0.395903857994663	0.347118434855409	0.386215288818314	0.395999054089661	0.383250435930335	0.393541522983625	0.38078913271017
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	0.378228093859751	0.343114385218257	0.328800775689067	0.355263662303812	0.369421949933696	0.407215934813641	0.365649266629315	0.37198541199767	0.365519192792425	0.375409152432167	0.355855801071948	0.341523445641396	0.361799186111105	0.379693224139369	0.399400525207318	0.324255525592824	0.384165781270313	0.348778761663207	0.380157009931011	0.386864722282445	0.395861780726332	0.348124723141488	0.372706330599111	0.385221936936451	0.356977652310579	0.373698540002193	0.368452361352952	0.39638629775203	0.377368581636527	0.418997521407876	0.383487635533789	0.383143028123469	0.380576791785462
"HALLMARK_TGF_BETA_SIGNALING"	0.556665470492317	0.546400716022717	0.557691815740447	0.554775018077042	0.559334546581462	0.55743743756296	0.598364665155577	0.571123952134699	0.539065514825951	0.467258566796548	0.558302044275584	0.558618294701578	0.553478502651394	0.541840334924167	0.548257878544178	0.536969949300887	0.601486311091897	0.543739934280531	0.523036784878227	0.595169807750638	0.553717924345701	0.553138663215709	0.547280055764612	0.553005802631591	0.508603639120642	0.54532516631523	0.581208218445498	0.503248171597508	0.531233865253771	0.553617297826985	0.54852360360047	0.607223377268942	0.586737256196176
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	0.261100128746201	0.287622180737411	0.240605009255835	0.352420618835029	0.336882773187945	0.284487160022833	0.357190281284213	0.220205217829008	0.243866651604939	0.251709489118303	0.17028827407083	0.179295388120653	0.247132460820227	0.272782056424324	0.28682269998426	0.341365225956946	0.273155130319323	0.291682187560315	0.299375896477601	0.266514127221047	0.278186711554368	0.264530608478799	0.240639576998528	0.306531184639537	0.251539598857441	0.247829724173396	0.266094301288552	0.243933757568307	0.288326979915656	0.248999869796598	0.284067237853319	0.34424607524589	0.305621078923108
"HALLMARK_DNA_REPAIR"	0.521277200482824	0.536489926531894	0.504113022483153	0.549067082438148	0.544949426495368	0.5284435747295	0.533501549061319	0.501639465245952	0.522732098508653	0.554982468061791	0.504744896471238	0.512988583194064	0.565375307349283	0.533859641883983	0.525776046975361	0.558601399883955	0.524416131621289	0.543437456109356	0.53743988922245	0.51858285522188	0.529123173232777	0.531686414544239	0.5308929589456	0.544053047227022	0.539638283076534	0.530795601088334	0.517323049545661	0.557974391408056	0.543562808961524	0.536170226314291	0.515976390896217	0.529399207982339	0.541341803325288
"HALLMARK_G2M_CHECKPOINT"	0.280814354969804	0.279060851681253	0.298895732360193	0.32060778670852	0.3313155582829	0.304652746083523	0.291454352952038	0.274854121320411	0.309166530633317	0.361551683223173	0.28200053390651	0.266955197248863	0.269583446841497	0.328143761780889	0.303731153938046	0.332957106928411	0.303334806089546	0.310494949063798	0.339929617734559	0.289899735633755	0.300472295739463	0.250055444559655	0.371728670432386	0.309200031915879	0.323058670260952	0.306276707642184	0.267212573546569	0.345299124091026	0.379413767127834	0.302394360069517	0.32334772009701	0.286650163780692	0.318415404898248
"HALLMARK_APOPTOSIS"	0.518757443676582	0.5265445493896	0.514264692289646	0.554435986704095	0.562868726582938	0.542985802793806	0.5489385128986	0.502304598705629	0.528622227083215	0.53496640060672	0.495511256531964	0.48049018277528	0.514431755971046	0.540824454830086	0.542551639111252	0.549659233966654	0.526621314267077	0.540746825661023	0.547467782484626	0.536563226710406	0.538037798592949	0.491080891584471	0.533086689830182	0.538231397706381	0.522338106521207	0.538014560223468	0.513759721709262	0.526542347332302	0.547013985993779	0.527223655920129	0.541253388358908	0.558819996015253	0.54517905573756
