Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
ENCFF722QGY	0	0.03771598639011744	0.03677251650771056	0	0.04159780622101324	0.009682735404440765	0.29005639165852964	0	0	0.10124347201871743	0	0.03785691021535909	0	0.010629393957505479	0.053768310252708396	0.09852802284031997	0.03436416148960697	0.05093619722399181	0.12575232787409887	0	0.07109576794588034	0	0.938	-0.0361	1.0753880974302783
ENCFF044EJX	0	0	0.06846513009679127	0	0.04736582572067298	0	0.4054766082498802	0	0	0	0.09513226045809688	0.03776641979344623	0	0.11683464764026483	0.005731968317043753	0	0	0.07595127604375407	0	0.07515940494143422	0.07211645873861558	0	0.727	-0.0172	1.0865484618830203
ENCFF052HXO	0.010894810696532793	0	0	0.04206179783756297	0	0.2748962201603347	0	0	0.045082876880496794	0	0.03604439700837601	0	0.03659792113347399	0	0.015103657086456014	0	0.029970618230927736	0.0064982198479571485	0	0.4933435658470854	0.009505915270796446	0	0.071	0.12321809830718894	1.0907104721638248
ENCFF063XVI	0.02919554889028245	0	0	0.06928360957038335	0.021596029603851322	0.2512662790667476	0	0	0.01030673491603562	0	0	0.08554450298411863	0.08397883650746847	0	0	0	0	0.020579244952448568	0	0.4100294371586975	0.01821977634996653	0	0.079	0.11189558692103665	1.0777150564768512
ENCFF372VME	0	0	0	0	0.09968994077488008	0.3007014810288919	0	0	0	0	0.0515958373665497	0.055205841001607865	0.09171628260393747	0	0	0	0.004270658381411658	0	0	0.39604232292777175	0	0.0008	0.097	0.10245044218879243	1.0847801522402718
ENCFF108ERJ	0	0	0.011969904536947532	0	0.1313928725810691	0.2960734025563224	0	0	0	0	0.126555755339151	0	0.07112217271847383	0	0	0	0.012416930508715566	0.011293502684964164	0	0.33471267775394126	0	0.004462781320415089	0.127	0.08022459417194008	1.0840268694950856
ENCFF699KSV	0.06316494462078344	0	0.019038654881671564	0	0	0.3720989337569242	0	0	0.014906740102684023	0	0.07041606467473965	0.06516642460148732	0.03299365459447782	0	0.013118826127635626	0	0.017088837776880274	0.004897680601608543	0	0.31440026568800933	0.012708972573098188	0	0.124	0.08325445862325782	1.0772723892625642
ENCFF376ZWZ	0	0.018554391516693983	0.03796285870213639	0	0.3195414800582299	0	0.13698434820253072	0	0	0.029198803347337095	0.015203688718640742	0.053849448083434975	0	0	0	0.025043455750149064	0.06313659171896949	0.06718412370997347	0	0.15718377769180014	0	0.07615703250010404	0.396	0.014706300166418683	1.0761056306686192
ENCFF886ZLO	0	0	0.01282999710414232	0.0030903603521559965	0.2038453518131254	0.1666974365262364	0	0	0	0	0.03913622387678148	0.021590131962989284	0	0	0	0	0.04157870413951417	0	0	0.4667865426468593	0.011556349841000822	0.03288890173719478	0.231	0.04584695622859406	1.1267164452688663
ENCFF111SEX	0	0	0.06470320673983547	0	0.3432078713662195	0	0.03285858755962492	0.011686702738263693	0	0.25406663380805233	0	0	0	0	0.015476618670575468	0.0825971097893951	0.017796335108499362	0.046307345536521764	0	0.07122087798140231	0.049706002656137845	0.010372708045472237	0.998	-0.066	1.1279377099184795
ENCFF755GEI	0	0.03325805387292444	0.02987999169348259	0	0.28507688470874015	0	0.11975510611042448	0.0038560664833362326	0	0.09397393136759588	0.08663774502676676	0	0	0	0.013340500262668439	0.1082896741172795	0.05689017275225612	0.0583537444483692	0	0.06672990338919943	0	0.04395822576695682	1.0	-0.0772	1.1069501393483585
ENCFF495BUA	0	0.008900725400132604	0.009996937323229071	0	0.21966483006051632	0.08970528381076821	0.31907484723842416	0	0	0	0.07509484218167617	0.030777990241830484	0.046466214419142456	0	0	0	0.04199077504830844	0.005013652904072459	0	0.09557113354350517	0.05774276782839446	0	1.0	-0.0695	1.1162100158484147
ENCFF650BVH	0.021735849098304973	0	0.08683224744457534	0	0.15776680139971289	0	0.15958139465445403	0	0.012287481408156897	0.1923891915647243	0	0.10726031712939259	0.01832609979741526	0.11252276285023453	0.03881945796531517	0	0	0	0	0	0.09247839668771402	0	1.0	-0.0941	1.1380953620740355
ENCFF274EWD	0.004674698959828323	0	0.0026131031790615866	0	0	0.19832322991174353	0	0.019803509455302702	0	0.02121470206664277	0	0.08845216705010168	0	0	0	0.10589201769538716	0	0.010032629500916988	0.5312104172684172	0	0	0.017783524912598055	0.427	0.010871925229427804	1.1498169965870852
ENCFF458UWF	0.0020939595821115736	0	0.0050879383634050614	0.02299349864024716	0	0.10404090270460836	0.007908274930736812	0.006089137501982328	0	0	0.07575722139980831	0	0.3700442472739895	0	0	0.12671612278345334	0	0.012764406978582344	0.2328246681915639	0	0	0.03367962164951131	0.2	0.05233485853102358	1.081928262583112
ENCFF467LOW	0	0	0.13516422108444207	0	0.008033429793777375	0.11753544420059994	0.17842696751374076	0.14363968923414563	0	0.021159937603105725	0	0	0	0	0.00793249534615574	0	0.029785557181893834	0.09073127307673133	0.2591325944246529	0	0	0.008458390540754684	0.991	-0.0518	1.1082843615736293
ENCFF906UPT	0.14249946393287755	0	0.07645874366566847	0.011603059549623498	0	0.09486392369757363	0.01652089961003092	0	0.06804691629344471	0.0921928814051717	0	0.14972730359257372	0	0	0.05533383646233346	0.06725215225508532	0.04577161326252922	0.01681749659199656	0	0.045860107895231844	0	0.1170516017858594	1.0	-0.0695	1.130902372591899
ENCFF798LDD	0.0015732101050317455	0	0.004908198558561556	0	0.04455849312099541	0.01887120983747778	0	0	0	0	0.006012630317671537	0	0	0.5576716602522636	0	0	0	0	0	0.3573204687066916	0.00908412910130678	0	0	0.4623450997116366	0.9213300633419162
ENCFF898LWW	0.0026254101152640196	0.0004	0.0004	0.017347576270179473	0	0.07916365447572825	0	0.0048225967921842125	0.0004	0	0.026709929208257113	0	0	0.1328704504889751	0	0.05321685484341138	0	0	0	0.6820757986402493	0	0	0.051	0.15207603724149543	1.1574917528918411
ENCFF793MNO	0	0.13383550783710774	0	0	0.030521999337710475	0.06771136032394648	0.1597160353634127	0	0.08903854267150944	0.2680271723752801	0	0.0154783453131705	0.007911346225362725	0	0.013987278106379557	0.004011241316989068	0	0.09287424595737671	0	0	0.10513448987889198	0.011752435292862488	0.764	-0.0198	1.1091122447745536
ENCFF970EZY	0.0046296466926585515	0	0.00837216436139518	0.002300425552043492	0.13882523366475683	0.32436351175977196	0	0	0	0	0.10034087982390302	0	0.08169061753692579	0	0	0	0.004135077235015129	0.007559552203728272	0	0.3277828911698018	0	0	0.127	0.0806106270016266	1.0848794819907184
ENCFF759EQF	0	0	0.013803799079097697	0	0.21073358474825948	0.23413513322278195	0	0	0	0	0.08632148380120659	0	0.07932587367882106	0.021875217952472544	0	0	0.024116315677706356	0.002677597958944903	0	0.3270109938807094	0	0	0.129	0.07838828276263114	1.0811051218140453
ENCFF788QAK	0.05680846518570691	0	0.05551205925213766	0.11719506699037191	0.15210255341226744	0	0.2064307272267961	0.01891087988999774	0.011416889761583804	0	0.05349476714877904	0.03913805299385676	0	0	0	0.03517520891021686	0.04065677039916401	0.022995150779461116	0	0.09427221571739305	0.0908281220063973	0.005063070325870283	0.978	-0.0462	1.0965558318461828
ENCFF848HBI	0.015621570362918964	0	0.0476969532331136	0.03670512795946929	0	0.06546905518753483	0.2424139336046001	0	0	0.02017133187404715	0	0.12248144716581319	0	0	0.022069733235394264	0.1074985325264438	0.04938358634722977	0.08653268600955913	0.10434538081299671	0	0.0796106616808792	0	0.919	-0.0325	1.0805597098226676
ENCFF249RAD	0	0.019631728388971145	0.035902077395286135	0	0.12008399377179813	0.09693351057485508	0.19510214915421997	0.11917696394271823	0	0	0.010569401722949302	0.08977036602909232	0	0	0.017004090924226486	0	0.07176763414029505	0.012933732304039058	0	0.16491538392749913	0.023351006022903655	0.02285796170114631	0.24	0.04377067979278512	1.067695199317557
ENCFF852SRQ	0.005300415560748101	0	0.01610265360851952	0	0.273627644306279	0.17253407359064707	0.04358835218729299	0	0	0	0	0.0037547548629602093	0	0	0.011736480601185323	0.1016836082472515	0	0.05778506418065292	0	0.2365548395010423	0	0.07733211335342104	0.327	0.02477959550300317	1.088366215316661
ENCFF050NVH	0.04326410342605618	0	0.04145898124332033	0.030942413706779904	0.04159555858720949	0.11633183507561566	0.18089789605208692	0	0	0	0	0.2203816320320089	0.046270184015979016	0.006027506257462854	0.03184194837162141	0	0.05823851782701295	0	0	0.14875509955511648	0.03399432384972993	0	0.182	0.05526284906678228	1.0753694950406871
ENCFF870JUS	0	0.04931871427113295	0	0.11174534676476859	0	0.11193768656397189	0	0.06773362328483767	0	0	0.16339216501107048	0	0	0	0.0225814652037151	0.05849476807727007	0.05851759485072937	0	0.34623272482068085	0	0.010045911151823017	0	0.962	-0.0408	1.1258121474408318
ENCFF353DEP	0.013029541731488613	0.011273672792101236	0.06664140130646679	0	0.0693956940712403	0.1886036394182864	0	0.07916823893913062	0	0	0.08343383414427885	0.05086592420417458	0.06385362898214336	0.07450292420025241	0.0654981771801268	0.0796488447139639	0	0.02319362218333631	0.1022310518304373	0	0	0.028659804302572534	1.0	-0.0814	1.1054073581984993
ENCFF436XMQ	0	0.01599554251121003	0	0.005595108670183713	0.29307662826634406	0	0	0.022622869493284736	0	0.15464251556044037	0.14811451522375108	0	0	0	0.010516881885432929	0.04632506921748767	0.050193844494290756	0.061631213492957214	0	0.03567390371878597	0.07552723828280908	0.08008466918302241	1.0	-0.0813	1.1422957536062086
ENCFF684KLL	0	0	0.04074917930781044	0	0.1520237556035674	0.024508184313035038	0	0.029103755364333368	0.006181749722641269	0	0	0.17680203546604092	0.07364254469422776	0	0.022746371713472966	0	0.045007442838832366	0	0.34278576882160916	0	0.06058472722415128	0.025864484930278025	0.975	-0.0455	1.124017228822535
ENCFF640FPG	0	0.02775021762007363	0	0	0.018055457584730084	0.6294334522234635	0	0	0.16006396394072694	0	0.007130109160098175	0	0	0	0	0.012196871010506295	0	0.017478898269354077	0	0	0.030542871273093655	0.0973481589179537	0.919	-0.0325	1.1778389093137869
ENCFF704TVE	0	0	0.08326916869558001	0	0	0.32826993826776574	0.19960985838500223	0	0	0.04664174225345471	0	0.10141763833298231	0.005502897033739973	0.05975208629328162	0.012435836038941482	0	0.002174123603656611	0.021824895162188038	0.04812249562498273	0	0.0403965934776438	0.050582726830780744	0.998	-0.0667	1.1173927916117243
