Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
X3096.PBK.0001	0.01197687230095452	0	0.005123959608379344	0.008381831245996575	0	0.05417046664302102	0	0.01605208275407031	0	0	0.004679838473394688	0.008488750313955351	0.056997640630113436	0	0.006750497510101776	0.3382206112772706	0	0.0005	0.4886781397853512	0	0	0	0	0.5627556872074239	0.8273767447776395
X3096.PBK.0002	0	0.0021062544633477834	0.0013277903115142837	0.01042288317918036	0	0.07340573663559533	0	0.006090047025646991	0	0	0.005501356197435126	0.020773729315873214	0.01658250350753659	0	0.003604987366082818	0.33349381550259294	0	0.0007	0.5260085333964066	0	0	0	0	0.6863091272822588	0.730914249922183
X3096.PBK.0004	0.004893843374111849	0	0.02506532153634274	0.05743467291931265	0	0.09931391166725273	0	0.02446387128602365	0.01904307287245345	0	0	0	0.03626606270344207	0	0.0052599540224858065	0.38971047051858837	0.00942835442351024	0	0.3291204646764764	0	0	0	0.006	0.29279031892142376	0.975371119760822
X3096.PBK.0005	0	0.006835417400260721	0.006740310535225366	0.04332940008548353	0	0.12910015601853295	0	0.03596235485397523	0.011310917523755617	0	0	0.04250912709630536	0.043229871194655954	0	0.005361168457451961	0.2781565008058133	0.10647092020920265	0	0.2909679715493609	0	0	0	0.001	0.41545591507876856	0.909941908466787
X3096.PBK.0006	0.004005116187062433	0	0	0.07498923575137169	0	0.13830109113344857	0	0.046638031363422594	0.026834549462920108	0	0	0.01836708116312061	0.0668663672329231	0	0.012098798188669402	0.26801400084630544	0.07088961345843862	0	0.27299611521231737	0	0	0	0.003	0.3706628660867	0.9308824616616423
X3096.PBK.0009	0.0010104474999990036	0.003599047282806707	0	0.03519488896601101	0	0.09113733489246675	0	0.012236443200435895	0.037277722916912864	0	0	0.0326307086814597	0.022919646305097033	0	0.017886422285091283	0.2508753836306185	0.021757977283280727	0	0.47347397705582056	0	0	0	0	0.5412855588406905	0.8409212022986483
X3096.PBK.0010	0	0.016803324308999227	0	0.04222563011030399	0	0.0785529706623937	0	0.005279054972578345	0.00929130259016153	0	0	0.030096899848084044	0.08559182291618812	0	0.01884852390053706	0.34475697315276943	0.005645512282968305	0	0.3629079852550163	0	0	0	0	0.5582262758908092	0.8314012245698036
X3096.PBK.0011	0.004928715485161745	0	0.017347638040705684	0	0.019701571629000332	0.08425072282469154	0	0.023902865195459998	0.042648182850819644	0	0.01178561126621718	0.021910719374873308	0.03787399992462776	0	0.012677196452765008	0.30538667480551807	0.0004	0	0.417225922091057	0	0	0	0.012	0.24952156949947826	1.0058037752242261
X3096.PBK.0012	0	0.003381418743289998	0.012568487877231837	0.012318659553430913	0	0.07053371359637338	0	0.04171635977677065	0.01117825016062702	0	0	0.035346946159081634	0.013076679592053938	0	0.00756079373340341	0.2905811260118006	0.07035482458745947	0	0.43138274020847717	0	0	0	0.006	0.31525127379805107	0.9736590677131755
X3096.PBK.0013	0	0.008936050860845245	0.0025021200418501584	0.05455397902396466	0	0.15909846291520818	0	0.022192412577256435	0.02608705208502399	0	0	0.06424082587968306	0.0002	0	0	0.16348185435676812	0.20859388751475164	0.013093683207930019	0.2726824560996759	0	0	0.0043234603093019	0.001	0.4125389017059691	0.910953382307006
