Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
X3096.PBK.0001	0	0.0024687884863348196	0	0.012282240221808998	0	0.05911486484252013	0	0.014407953408266476	0	0	0.023768480014417344	0.006170183014101565	0.017346792624661184	0	0.0023975606995889254	0.3241471336243627	0	0	0.5378960030639378	0	0	0	0	0.5787603496588214	0.8171892890758753
X3096.PBK.0002	0	0.006127708576227918	0	0	0	0.06436869467692533	0	0.009102399920334684	0	0	0	0.02190061446127893	0.024527428861750415	0	0.0040503437875148264	0.3068569132238105	0	0	0.5630658964921574	0	0	0	0	0.689477820385809	0.7261342553174278
X3096.PBK.0004	0	0	0.007310147326948835	0.009833890688650945	0	0.1430534575151756	0	0.005482797063195832	0	0	0.015673410359339623	0.0005	0.031913433661135616	0	0.017018917164619878	0.3752040808370787	0.0405908764171867	0	0.35346057058947095	0	0	0	0.013	0.28366333497783897	0.9833908943322219
X3096.PBK.0005	0.004748909356289811	0	0.005134448899328162	0.029437711210372842	0.040727347994680814	0.09132278753961134	0	0.021717683532950595	0.028840532646875937	0	0	0.012175901017745972	0.03274872276135532	0	0.0042180306446014905	0.414054415401049	0.008035792081459882	0	0.30683771691367895	0	0	0	0.002	0.40957232314423353	0.9152089175443161
X3096.PBK.0006	0.0031168899453653423	0.0035457732246915986	0	0.05291496956476528	0	0.21020027152994394	0	0.031278782628736575	0.00791364283930935	0	0	0.029769835591946067	0.06344782143099544	0	0.007458577072159037	0.2662098123874771	0.052653821860503526	0	0.2714898019241068	0	0	0	0.003	0.3524550334625462	0.9397118614711831
X3096.PBK.0009	0.0021815778069511076	0.003286616784022424	0	0.027952451651384557	0	0.06999897929221623	0	0.014007801221909796	0.024567345018841173	0	0.004520971619196517	0.02878409835367597	0.009298628297841983	0	0.013283175734601312	0.24809956428503813	0.01673214701537062	0	0.5372866429189502	0	0	0	0	0.554435825048189	0.8341767719671325
X3096.PBK.0010	0.00594631722171493	0	0.0013311949595850026	0.02772917716085926	0	0.05808744625444461	0	0.006298032204659235	0	0	0	0.03042833419802413	0.07889609826819782	0	0.010954599380056792	0.4345914319393909	0	0	0.34573736841306735	0	0	0	0	0.5475759981873888	0.8371036731309588
X3096.PBK.0011	0.005755413396861516	0	0.0021653817198788905	0.039414146581075116	0	0.05461704368675776	0	0.026649815564042417	0.03403499619334937	0	0.015940640957056697	0.01654097806569419	0.05173069920240164	0	0.007592995160350738	0.3309623344967061	0	0	0.4145955549758257	0	0	0	0.023	0.2318772144089581	1.016946143761748
X3096.PBK.0012	0.002901075395420221	0.0042051043938507535	0.004495428610751974	0	0.039193499890857186	0.12042603658280152	0	0.018417300752518292	0.014900096506644171	0	0.015706366801942567	0.010077414999392005	0.022098309215448416	0	0.012613163365600174	0.24483261812900406	0.017502055924001888	0	0.47263152943176673	0	0	0	0.008	0.3056536148829633	0.9845755481147811
X3096.PBK.0013	0.005378881841106892	0.005873422089218356	0	0.039591290220351835	0	0.1773265572714458	0	0.028177598123124634	0.05270697939855218	0	0.028772271811215066	0.025720979513078578	0.03031511012863892	0	0.004061532914213827	0.21213222237557972	0.12603785140175613	0	0.25861555031657163	0	0	0.0052897525951464755	0.002	0.394505399109467	0.9191183711759541
X3096.PBK.0014	0	0.018354668504550517	0.00672877789408072	0	0	0.2099088076640199	0	0.012947283200165381	0.015286111189253793	0	0.03600485387297269	0.015227541361103054	0.006576198331410308	0	0.0032404961585291415	0.18660166518510785	0	0	0.48730407567649214	0	0	0.0018195209623145113	0.002	0.4474196028218761	0.9022510381705886
X3096.PBK.0015	0.0027878036404554944	0.0015828507430851798	0.008095234126752265	0	0.022836562939825503	0.2110452577399942	0	0.024150590645328728	0.024445607563509195	0	0.05114221674883692	0.0004	0.03127732092562078	0	0	0.3538518622763084	0	0.025462148049810892	0.24294835357222738	0	0	0	0.053	0.16485623622000545	1.0233853033357962
